dm,width,sigma_x100,t,verdict
0,1,955,28084,-
0,2,735,409,-
0,4,584,410,-
0,8,593,57066,-
0,16,549,44466,-
0,32,455,18206,-
0,64,434,24457,-
0,128,365,44492,-
3225,1,984,59621,-
3225,2,780,20739,-
3225,4,631,20740,-
3225,8,556,57066,-
3225,16,522,20746,-
3225,32,449,18192,-
3225,64,431,18173,-
3225,128,387,44486,-
6451,1,933,62101,-
6451,2,809,13,-
6451,4,644,20180,-
6451,8,566,13862,-
6451,16,484,44468,-
6451,32,501,49534,-
6451,64,521,44492,-
6451,128,375,44500,-
9677,1,875,49518,-
9677,2,788,65503,-
9677,4,562,14900,-
9677,8,492,36574,-
9677,16,468,12451,-
9677,32,466,33640,-
9677,64,441,42704,-
9677,128,381,12479,-
12903,1,907,27018,-
12903,2,805,65456,-
12903,4,584,49520,-
12903,8,574,57066,-
12903,16,502,64617,-
12903,32,462,12443,-
12903,64,458,12429,-
12903,128,374,49494,-
16129,1,971,6222,-
16129,2,759,65410,-
16129,4,613,61964,-
16129,8,519,34855,-
16129,16,490,7899,-
16129,32,434,49534,-
16129,64,405,9090,-
16129,128,375,13731,-
19354,1,955,6222,-
19354,2,734,43772,-
19354,4,592,12849,-
19354,8,565,57068,-
19354,16,507,57068,-
19354,32,438,36585,-
19354,64,457,34715,-
19354,128,383,13682,-
22580,1,973,26879,-
22580,2,762,65317,-
22580,4,612,65317,-
22580,8,596,85,-
22580,16,490,36571,-
22580,32,426,64061,-
22580,64,407,34693,-
22580,128,379,56340,-
25806,1,936,8531,-
25806,2,737,65270,-
25806,4,597,20741,-
25806,8,607,57068,-
25806,16,499,57066,-
25806,32,493,32067,-
25806,64,470,621,-
25806,128,450,64392,-
29032,1,922,3385,-
29032,2,751,65224,-
29032,4,563,65225,-
29032,8,543,6025,-
29032,16,515,53808,-
29032,32,473,48838,-
29032,64,450,64375,-
29032,128,389,64372,-
32258,1,886,49518,-
32258,2,825,65177,-
32258,4,660,65177,-
32258,8,645,65174,-
32258,16,545,57072,-
32258,32,521,65162,-
32258,64,433,64345,-
32258,128,365,18149,-
35483,1,1003,27573,-
35483,2,861,51465,-
35483,4,664,65130,-
35483,8,642,1463,-
35483,16,564,1467,-
35483,32,596,1474,-
35483,64,450,1468,-
35483,128,425,18144,-
38709,1,995,26646,-
38709,2,708,65084,-
38709,4,589,6221,-
38709,8,667,65081,-
38709,16,481,41936,-
38709,32,410,36927,-
38709,64,399,18113,-
38709,128,382,18144,-
41935,1,881,36570,-
41935,2,802,65038,-
41935,4,685,65037,-
41935,8,586,36574,-
41935,16,457,36570,-
41935,32,480,64206,-
41935,64,368,18068,-
41935,128,354,36536,-
45161,1,890,61543,-
45161,2,711,25059,-
45161,4,541,64992,-
45161,8,594,57068,-
45161,16,540,5209,-
45161,32,459,6012,-
45161,64,382,6010,-
45161,128,338,36514,-
48387,1,1141,6222,-
48387,2,889,29004,-
48387,4,722,29003,-
48387,8,547,29006,-
48387,16,465,57066,-
48387,32,395,2047,-
48387,64,360,46774,-
48387,128,381,46800,-
51612,1,830,55962,-
51612,2,802,64898,-
51612,4,575,64897,-
51612,8,595,57068,-
51612,16,518,45800,-
51612,32,388,33634,-
51612,64,389,14665,-
51612,128,405,46782,-
54838,1,990,63421,-
54838,2,750,64851,-
54838,4,573,10607,-
54838,8,553,10608,-
54838,16,541,18197,-
54838,32,408,38078,-
