dm,width,sigma_x100,t,verdict
0,1,847,50856,-
0,2,864,42347,-
0,4,722,42348,-
0,8,545,58469,-
0,16,515,58466,-
0,32,493,103,-
0,64,495,122,-
0,128,394,23032,-
3225,1,816,4308,-
3225,2,744,27764,-
3225,4,559,33918,-
3225,8,687,33919,-
3225,16,504,33916,-
3225,32,517,76,-
3225,64,558,92,-
3225,128,421,23003,-
6451,1,868,2598,-
6451,2,652,15572,-
6451,4,666,15573,-
6451,8,628,15574,-
6451,16,552,7275,-
6451,32,477,7282,-
6451,64,452,21625,-
6451,128,344,11030,-
9677,1,867,59851,-
9677,2,675,20358,-
9677,4,609,2439,-
9677,8,490,14428,-
9677,16,455,23053,-
9677,32,423,53842,-
9677,64,457,56158,-
9677,128,392,60481,-
12903,1,827,59997,-
12903,2,680,31698,-
12903,4,632,31699,-
12903,8,476,15574,-
12903,16,494,64127,-
12903,32,454,64135,-
12903,64,389,14406,-
12903,128,414,14425,-
16129,1,1051,7136,-
16129,2,794,7136,-
16129,4,634,59950,-
16129,8,569,56637,-
16129,16,465,28260,-
16129,32,462,64123,-
16129,64,404,64107,-
16129,128,399,14385,-
19354,1,846,62437,-
19354,2,676,36812,-
19354,4,580,5829,-
19354,8,558,20166,-
19354,16,465,222,-
19354,32,424,55997,-
19354,64,390,44077,-
19354,128,368,44044,-
22580,1,919,27451,-
22580,2,697,20172,-
22580,4,570,30466,-
22580,8,581,15574,-
22580,16,502,30460,-
22580,32,420,30452,-
22580,64,379,60298,-
22580,128,380,8503,-
25806,1,811,16983,-
25806,2,711,30461,-
25806,4,616,30461,-
25806,8,591,30464,-
25806,16,486,30466,-
25806,32,376,2816,-
25806,64,380,18689,-
25806,128,383,29952,-
29032,1,845,10659,-
29032,2,730,18661,-
29032,4,606,65087,-
29032,8,539,18662,-
29032,16,475,65090,-
29032,32,398,17212,-
29032,64,400,8522,-
29032,128,405,29912,-
32258,1,885,21339,-
32258,2,713,21340,-
32258,4,587,21341,-
32258,8,455,6906,-
32258,16,480,6902,-
32258,32,436,29907,-
32258,64,385,29892,-
32258,128,491,29856,-
35483,1,818,43920,-
35483,2,720,19986,-
35483,4,670,19985,-
35483,8,589,19985,-
35483,16,486,55778,-
35483,32,438,8517,-
35483,64,413,8500,-
35483,128,425,29817,-
38709,1,864,31341,-
38709,2,774,7137,-
38709,4,582,15894,-
38709,8,563,20165,-
38709,16,441,20168,-
38709,32,423,33127,-
38709,64,427,29809,-
38709,128,434,29777,-
41935,1,1196,46177,-
41935,2,856,46177,-
41935,4,628,31326,-
41935,8,508,30464,-
41935,16,499,57389,-
41935,32,445,29787,-
41935,64,390,29786,-
41935,128,397,29755,-
45161,1,880,16165,-
45161,2,642,2534,-
45161,4,697,57816,-
45161,8,673,57818,-
45161,16,569,57822,-
45161,32,438,8378,-
45161,64,427,57846,-
45161,128,387,29739,-
48387,1,765,43734,-
48387,2,645,27113,-
48387,4,626,11912,-
48387,8,506,38288,-
48387,16,508,47599,-
48387,32,475,55580,-
48387,64,404,55562,-
48387,128,352,13360,-
51612,1,860,26683,-
51612,2,727,26684,-
51612,4,640,2441,-
51612,8,563,30464,-
51612,16,525,30468,-
51612,32,473,64122,-
51612,64,426,13332,-
51612,128,423,50383,-
54838,1,807,19724,-
54838,2,720,55495,-
54838,4,618,50307,-
54838,8,595,39294,-
54838,16,583,39296,-
54838,32,409,46192,-
54838,64,409,26660,-
