dm,width,sigma_x100,t,verdict
0,1,1175,38453,-
0,2,834,38454,-
0,4,601,37813,-
0,8,522,9325,-
0,16,469,9329,-
0,32,541,9327,-
0,64,411,9311,-
0,128,409,9358,-
3174,1,1175,38453,-
3174,2,834,38454,-
3174,4,601,37813,-
3174,8,522,9325,-
3174,16,469,9329,-
3174,32,541,9327,-
3174,64,411,9311,-
3174,128,409,9358,-
6349,1,1175,38453,-
6349,2,834,38454,-
6349,4,601,37813,-
6349,8,522,9325,-
6349,16,469,9329,-
6349,32,541,9327,-
6349,64,411,9311,-
6349,128,409,9358,-
9523,1,1256,38453,-
9523,2,831,38454,-
9523,4,632,37813,-
9523,8,517,9006,-
9523,16,466,9328,-
9523,32,514,9327,-
9523,64,417,9311,-
9523,128,407,9363,-
12698,1,1302,38453,-
12698,2,827,38454,-
12698,4,586,38452,-
12698,8,546,9006,-
12698,16,460,9328,-
12698,32,512,9327,-
12698,64,407,9311,-
12698,128,401,9364,-
15873,1,1160,38453,-
15873,2,761,38453,-
15873,4,632,61483,-
15873,8,527,9005,-
15873,16,448,9327,-
15873,32,498,9327,-
15873,64,405,9311,-
15873,128,405,9362,-
19047,1,1138,38453,-
19047,2,760,38453,-
19047,4,586,61483,-
19047,8,527,9005,-
19047,16,452,9328,-
19047,32,496,9327,-
19047,64,409,9310,-
19047,128,404,9359,-
22222,1,1126,38453,-
22222,2,766,30999,-
22222,4,581,61483,-
22222,8,528,9004,-
22222,16,445,9327,-
22222,32,495,9327,-
22222,64,409,9310,-
22222,128,410,9361,-
25396,1,1105,38453,-
25396,2,715,38453,-
25396,4,558,61483,-
25396,8,536,9004,-
25396,16,449,9327,-
25396,32,485,9327,-
25396,64,411,9309,-
25396,128,409,9361,-
28571,1,1105,38453,-
28571,2,715,38453,-
28571,4,558,61483,-
28571,8,536,9004,-
28571,16,449,9327,-
28571,32,485,9327,-
28571,64,411,9309,-
28571,128,409,9361,-
31746,1,1108,38453,-
31746,2,751,38454,-
31746,4,582,9323,-
31746,8,500,39346,-
31746,16,525,9330,-
31746,32,489,9328,-
31746,64,416,9309,-
31746,128,411,9360,-
34920,1,1075,38453,-
34920,2,752,38454,-
34920,4,592,9323,-
34920,8,497,9003,-
34920,16,508,9330,-
34920,32,489,9328,-
34920,64,409,9309,-
34920,128,411,9360,-
38095,1,1081,38453,-
38095,2,769,38454,-
38095,4,592,9323,-
38095,8,499,39346,-
38095,16,539,9329,-
38095,32,498,9327,-
38095,64,410,9309,-
38095,128,411,9359,-
41269,1,1088,38453,-
41269,2,777,38454,-
41269,4,599,9323,-
41269,8,494,39346,-
41269,16,529,9329,-
41269,32,492,9327,-
41269,64,414,9309,-
41269,128,423,9359,-
44444,1,1127,38453,-
44444,2,769,38454,-
44444,4,570,31749,-
44444,8,490,61479,-
44444,16,527,9330,-
44444,32,487,9327,-
44444,64,416,9309,-
44444,128,420,9359,-
47619,1,1182,38453,-
47619,2,778,38454,-
47619,4,570,31749,-
47619,8,471,28699,-
47619,16,535,9330,-
47619,32,485,9327,-
47619,64,416,9309,-
47619,128,419,9359,-
50793,1,1186,38453,-
50793,2,781,38454,-
50793,4,753,38455,-
50793,8,513,9337,-
50793,16,527,9330,-
50793,32,480,9325,-
50793,64,419,9309,-
50793,128,415,9358,-
53968,1,1186,38453,-
53968,2,781,38454,-
53968,4,753,38455,-
53968,8,513,9337,-
53968,16,527,9330,-
53968,32,480,9325,-
53968,64,419,9309,-
53968,128,415,9358,-
57142,1,1186,38453,-
57142,2,781,38454,-
57142,4,753,38455,-
57142,8,513,9337,-
57142,16,527,9330,-
57142,32,480,9325,-
57142,64,419,9309,-
57142,128,415,9358,-
60317,1,1105,47218,-
60317,2,796,38454,-
