dm,width,sigma_x100,t,verdict
0,1,1013,11871,-
0,2,863,150599,-
0,4,698,254286,-
0,8,644,89915,-
0,16,600,75395,-
0,32,487,80275,-
0,64,473,135025,-
0,128,483,92814,-
3174,1,1013,11871,-
3174,2,863,150599,-
3174,4,698,254286,-
3174,8,644,89915,-
3174,16,600,75395,-
3174,32,487,80275,-
3174,64,473,135025,-
3174,128,483,92814,-
6349,1,1013,11871,-
6349,2,863,150599,-
6349,4,698,254286,-
6349,8,644,89915,-
6349,16,600,75395,-
6349,32,487,80275,-
6349,64,473,135025,-
6349,128,483,92814,-
9523,1,1211,261360,-
9523,2,855,217105,-
9523,4,671,75393,-
9523,8,649,89913,-
9523,16,602,75394,-
9523,32,492,80275,-
9523,64,475,135025,-
9523,128,477,92840,-
12698,1,1203,261360,-
12698,2,809,92777,-
12698,4,664,75392,-
12698,8,672,75390,-
12698,16,619,75394,-
12698,32,503,80275,-
12698,64,472,135025,-
12698,128,482,92840,-
15873,1,1088,167683,-
15873,2,946,92777,-
15873,4,673,75392,-
15873,8,635,75390,-
15873,16,591,75394,-
15873,32,475,106361,-
15873,64,461,135026,-
15873,128,488,92839,-
19047,1,1096,218814,-
19047,2,902,92777,-
19047,4,696,75392,-
19047,8,661,75390,-
19047,16,592,75394,-
19047,32,477,106361,-
19047,64,463,135025,-
19047,128,491,92839,-
22222,1,1048,83772,-
22222,2,811,92777,-
22222,4,693,75391,-
22222,8,672,75390,-
22222,16,600,75394,-
22222,32,474,75385,-
22222,64,464,135025,-
22222,128,496,92839,-
25396,1,1021,261358,-
25396,2,799,92777,-
25396,4,739,75391,-
25396,8,648,75389,-
25396,16,600,75393,-
25396,32,480,75385,-
25396,64,466,135025,-
25396,128,492,92839,-
28571,1,1021,261358,-
28571,2,799,92777,-
28571,4,739,75391,-
28571,8,648,75389,-
28571,16,600,75393,-
28571,32,480,75385,-
28571,64,466,135025,-
28571,128,492,92839,-
31746,1,1006,167681,-
31746,2,770,217102,-
31746,4,693,92777,-
31746,8,657,75389,-
31746,16,590,75393,-
31746,32,461,75385,-
31746,64,454,135022,-
31746,128,498,92838,-
34920,1,990,167681,-
34920,2,826,92777,-
34920,4,740,92777,-
34920,8,658,75388,-
34920,16,597,75391,-
34920,32,465,78079,-
34920,64,462,135025,-
34920,128,494,92838,-
38095,1,1144,92777,-
38095,2,967,237848,-
38095,4,740,92776,-
38095,8,665,75388,-
38095,16,587,75392,-
38095,32,492,73480,-
38095,64,460,135026,-
38095,128,497,92838,-
41269,1,1149,92777,-
41269,2,940,92777,-
41269,4,724,92776,-
41269,8,671,75388,-
41269,16,614,75392,-
41269,32,468,73479,-
41269,64,463,135026,-
41269,128,500,92837,-
44444,1,1115,167679,-
44444,2,915,237847,-
44444,4,684,92778,-
44444,8,646,22433,-
44444,16,574,75391,-
44444,32,491,73479,-
44444,64,474,135025,-
44444,128,501,92837,-
47619,1,1135,261355,-
47619,2,984,167680,-
47619,4,694,167679,-
47619,8,667,22433,-
47619,16,580,75391,-
47619,32,496,73479,-
47619,64,471,135025,-
47619,128,501,92837,-
50793,1,1007,99580,-
50793,2,920,154548,-
50793,4,757,92777,-
50793,8,648,22432,-
50793,16,566,154552,-
50793,32,476,73478,-
50793,64,474,135025,-
50793,128,503,92816,-
53968,1,1007,99580,-
53968,2,920,154548,-
53968,4,757,92777,-
53968,8,648,22432,-
53968,16,566,154552,-
53968,32,476,73478,-
53968,64,474,135025,-
53968,128,503,92816,-
57142,1,1007,99580,-
57142,2,920,154548,-
57142,4,757,92777,-
57142,8,648,22432,-
57142,16,566,154552,-
57142,32,476,73478,-
57142,64,474,135025,-
57142,128,503,92816,-
60317,1,1402,154547,SHOT
60317,2,972,154548,-
60317,4,757,92776,-
60317,8,617,22432,-
60317,16,579,254281,-
60317,32,477,92768,-
60317,64,464,135025,-
60317,128,499,92816,-
63492,1,1402,154547,SHOT
63492,2,972,154548,-
63492,4,757,92776,-
63492,8,617,22432,-
63492,16,579,254281,-
63492,32,477,92768,-
63492,64,464,135025,-
63492,128,499,92816,-
66666,1,1125,261352,-
66666,2,961,92777,-
66666,4,685,154546,-
66666,8,615,8399,-
66666,16,568,75386,-
66666,32,476,92768,-
66666,64,469,135026,-
66666,128,504,92816,-
69841,1,1140,261352,-
69841,2,920,154547,-
69841,4,702,154546,-
69841,8,612,8399,-
69841,16,585,254280,-
69841,32,479,73480,-
69841,64,464,135026,-
69841,128,508,92816,-
73015,1,1209,11861,-
73015,2,895,11861,-
73015,4,700,154546,-
73015,8,615,8399,-
73015,16,593,75385,-
73015,32,497,73480,-
73015,64,482,135025,-
73015,128,506,92816,-
76190,1,1212,11861,-
76190,2,868,11861,-
76190,4,734,154546,-
76190,8,641,8399,-
76190,16,602,75385,-
76190,32,497,73480,-
76190,64,480,135025,-
76190,128,506,92816,-
79365,1,1341,11861,-
79365,2,928,11861,-
79365,4,729,154546,-
79365,8,644,8399,-
79365,16,598,75385,-
79365,32,490,73480,-
79365,64,468,135025,-
79365,128,511,92817,-
82539,1,1038,11860,-
82539,2,936,11861,-
82539,4,716,154546,-
82539,8,635,8399,-
82539,16,593,75384,-
82539,32,493,73479,-
82539,64,467,135024,-
82539,128,510,92816,-
85714,1,1039,11860,-
85714,2,940,11861,-
85714,4,712,127004,-
85714,8,634,8399,-
85714,16,602,75384,-
85714,32,493,73479,-
85714,64,465,135024,-
85714,128,511,92816,-
88888,1,1038,90970,-
88888,2,822,127004,-
88888,4,746,92778,-
88888,8,594,92776,-
88888,16,580,254280,-
88888,32,501,92768,-
88888,64,462,135023,-
88888,128,512,92816,-
92063,1,1060,90970,-
92063,2,810,127004,-
92063,4,758,92778,-
92063,8,596,92776,-
92063,16,564,75384,-
92063,32,498,92768,-
92063,64,461,135023,-
92063,128,510,92816,-
95238,1,1093,90970,-
95238,2,886,127004,-
95238,4,743,92777,-
95238,8,600,92775,-
95238,16,560,75384,-
95238,32,497,92768,-
95238,64,455,135024,-
95238,128,505,92816,-
98412,1,1054,19121,-
98412,2,835,92778,-
98412,4,755,92777,-
98412,8,616,92775,-
98412,16,558,75384,-
98412,32,502,92768,-
98412,64,458,135022,-
98412,128,513,92816,-
101587,1,1231,92777,-
101587,2,1036,92777,-
101587,4,751,92777,-
101587,8,617,92775,-
101587,16,530,90704,-
101587,32,497,92768,-
101587,64,455,135023,-
101587,128,512,92816,-
104761,1,1214,92777,-
104761,2,1058,92777,-
104761,4,768,55332,-
104761,8,618,92775,-
104761,16,534,75384,-
104761,32,497,92768,-
104761,64,457,135023,-
104761,128,513,92816,-
107936,1,1232,92777,-
107936,2,1080,92777,-
107936,4,763,92777,-
107936,8,620,92775,-
107936,16,519,90704,-
107936,32,487,92768,-
107936,64,455,135023,-
107936,128,511,92816,-
111111,1,1013,41218,-
111111,2,1042,92777,-
111111,4,761,92777,-
111111,8,600,92774,-
111111,16,509,114651,-
111111,32,494,92765,-
111111,64,451,257988,-
111111,128,504,92814,-
114285,1,1013,41218,-
114285,2,1042,92777,-
114285,4,761,92777,-
114285,8,600,92774,-
114285,16,509,114651,-
114285,32,494,92765,-
114285,64,451,257988,-
114285,128,504,92814,-
117460,1,1474,55330,SHOT
117460,2,1006,55330,-
117460,4,831,92777,-
117460,8,608,92774,-
117460,16,536,114650,-
117460,32,497,92765,-
117460,64,467,73475,-
117460,128,510,92814,-
120634,1,1474,55330,SHOT
120634,2,1006,55330,-
120634,4,831,92777,-
120634,8,608,92774,-
120634,16,536,114650,-
120634,32,497,92765,-
120634,64,467,73475,-
120634,128,510,92814,-
123809,1,1070,218799,-
123809,2,1011,55330,-
123809,4,769,92776,-
123809,8,602,92774,-
123809,16,535,114650,-
123809,32,502,92764,-
123809,64,460,73475,-
123809,128,500,92814,-
126984,1,1041,218799,-
126984,2,1012,55330,-
126984,4,775,92776,-
126984,8,597,174052,-
126984,16,542,114649,-
126984,32,503,92764,-
126984,64,462,73474,-
126984,128,502,92815,-
130158,1,1024,218799,-
130158,2,1035,55330,-
130158,4,775,92776,-
130158,8,587,127002,-
130158,16,541,114649,-
130158,32,505,92764,-
130158,64,462,73474,-
130158,128,501,92815,-
133333,1,1141,240697,-
133333,2,848,92777,-
133333,4,678,92777,-
133333,8,580,107493,-
133333,16,550,114649,-
133333,32,495,92763,-
133333,64,463,73474,-
133333,128,500,92814,-
136507,1,1139,240697,-
136507,2,842,92777,-
136507,4,695,92777,-
136507,8,581,107493,-
136507,16,541,114650,-
136507,32,502,92763,-
136507,64,452,73474,-
136507,128,509,92814,-
139682,1,1036,261342,-
139682,2,831,92777,-
139682,4,670,55329,-
139682,8,596,107493,-
139682,16,565,114650,-
139682,32,505,92763,-
139682,64,439,92780,-
139682,128,506,92814,-
142857,1,1032,261342,-
142857,2,834,92777,-
142857,4,669,114644,-
142857,8,598,107493,-
142857,16,560,114650,-
142857,32,502,92763,-
142857,64,442,92781,-
142857,128,507,92814,-
146031,1,1026,261341,-
146031,2,837,92777,-
146031,4,658,214691,-
146031,8,584,245857,-
146031,16,578,114649,-
146031,32,495,92762,-
146031,64,439,73472,-
146031,128,501,92814,-
149206,1,1023,261341,-
149206,2,830,92777,-
149206,4,645,111979,-
149206,8,586,245857,-
149206,16,574,114649,-
149206,32,492,92762,-
149206,64,445,73472,-
149206,128,500,92814,-
152380,1,1098,11850,-
152380,2,817,111979,-
152380,4,648,78073,-
152380,8,562,142252,-
152380,16,593,114648,-
152380,32,476,92764,-
152380,64,443,257985,-
152380,128,513,92814,-
155555,1,1110,11850,-
155555,2,846,18624,-
155555,4,651,78073,-
155555,8,591,120951,-
155555,16,572,114648,-
155555,32,477,73466,-
155555,64,439,92780,-
155555,128,515,92814,-
158730,1,1070,11850,-
158730,2,827,18624,-
158730,4,641,78073,-
158730,8,581,120951,-
158730,16,567,114648,-
158730,32,479,73466,-
158730,64,449,257985,-
158730,128,513,92814,-
161904,1,1014,218794,-
161904,2,874,111978,-
161904,4,655,214691,-
161904,8,565,176882,-
161904,16,587,114647,-
161904,32,486,207999,-
161904,64,473,92782,-
161904,128,516,92814,-
165079,1,1005,261339,-
165079,2,866,111978,-
165079,4,628,214691,-
165079,8,583,120950,-
165079,16,577,114647,-
165079,32,471,73465,-
165079,64,460,92782,-
165079,128,506,92814,-
168253,1,1061,218793,-
168253,2,836,92777,-
168253,4,609,106345,-
168253,8,556,120950,-
168253,16,594,114646,-
168253,32,496,73462,-
168253,64,474,92781,-
168253,128,499,92814,-
171428,1,1061,218793,-
171428,2,836,92777,-
171428,4,609,106345,-
171428,8,556,120950,-
171428,16,594,114646,-
171428,32,496,73462,-
171428,64,474,92781,-
171428,128,499,92814,-
174603,1,1061,218792,-
174603,2,814,92777,-
174603,4,702,10867,-
174603,8,576,73468,-
174603,16,605,114645,-
174603,32,521,73461,-
174603,64,469,92780,-
174603,128,495,92817,-
177777,1,1061,218792,-
177777,2,814,92777,-
177777,4,702,10867,-
177777,8,576,73468,-
177777,16,605,114645,-
177777,32,521,73461,-
177777,64,469,92780,-
177777,128,495,92817,-
180952,1,1061,218792,-
180952,2,814,92777,-
180952,4,702,10867,-
180952,8,576,73468,-
180952,16,605,114645,-
180952,32,521,73461,-
180952,64,469,92780,-
180952,128,495,92817,-
184126,1,1010,11846,-
184126,2,845,10866,-
184126,4,643,10867,-
184126,8,548,73467,-
184126,16,549,114643,-
184126,32,517,73461,-
184126,64,467,92779,-
184126,128,498,92816,-
187301,1,1114,218791,-
187301,2,853,10866,-
187301,4,687,10867,-
187301,8,554,73467,-
187301,16,546,114644,-
187301,32,519,73461,-
187301,64,470,92779,-
187301,128,499,92816,-
190476,1,1039,261335,-
190476,2,838,92777,-
190476,4,679,92910,-
190476,8,537,73466,-
190476,16,575,114643,-
190476,32,516,73461,-
190476,64,467,92778,-
190476,128,499,92816,-
193650,1,1039,83772,-
193650,2,934,92777,-
193650,4,651,183175,-
193650,8,528,92780,-
193650,16,570,114643,-
193650,32,510,73461,-
193650,64,467,92778,-
193650,128,495,92816,-
196825,1,1146,138845,-
196825,2,999,113700,-
196825,4,664,183175,-
196825,8,549,73465,-
196825,16,587,114642,-
196825,32,502,73458,-
196825,64,460,92778,-
196825,128,497,92816,-
200000,1,1178,138845,-
200000,2,1027,113700,-
200000,4,667,183175,-
200000,8,547,73465,-
200000,16,584,114642,-
200000,32,516,73461,-
200000,64,462,92778,-
200000,128,499,92816,-
