dm,width,sigma_x100,t,verdict
0,1,1359,4800,-
0,2,940,4801,-
0,4,721,4802,-
0,8,614,214837,-
0,16,497,115515,-
0,32,484,75155,-
0,64,496,101286,-
0,128,499,49233,-
3174,1,1359,4800,-
3174,2,940,4801,-
3174,4,721,4802,-
3174,8,614,214837,-
3174,16,497,115515,-
3174,32,484,75155,-
3174,64,496,101286,-
3174,128,499,49233,-
6349,1,1359,4800,-
6349,2,940,4801,-
6349,4,721,4802,-
6349,8,614,214837,-
6349,16,497,115515,-
6349,32,484,75155,-
6349,64,496,101286,-
6349,128,499,49233,-
9523,1,1322,4799,-
9523,2,904,4800,-
9523,4,703,4801,-
9523,8,613,214838,-
9523,16,511,79239,-
9523,32,493,75155,-
9523,64,504,101285,-
9523,128,499,49233,-
12698,1,1261,4799,-
12698,2,930,4799,-
12698,4,693,4800,-
12698,8,632,214838,-
12698,16,504,79238,-
12698,32,490,75155,-
12698,64,505,101285,-
12698,128,497,49233,-
15873,1,1365,4798,-
15873,2,882,4798,-
15873,4,702,4800,-
15873,8,610,214837,-
15873,16,507,79238,-
15873,32,471,75155,-
15873,64,507,101285,-
15873,128,501,49234,-
19047,1,1360,4798,-
19047,2,900,4798,-
19047,4,699,4800,-
19047,8,610,214837,-
19047,16,511,79238,-
19047,32,466,75155,-
19047,64,509,101285,-
19047,128,497,49234,-
22222,1,1469,4797,SHOT
22222,2,911,4797,-
22222,4,700,4799,-
22222,8,592,49177,-
22222,16,509,79237,-
22222,32,483,75155,-
22222,64,510,101283,-
22222,128,499,49233,-
25396,1,1469,4797,SHOT
25396,2,930,4798,-
25396,4,705,4799,-
25396,8,592,49177,-
25396,16,512,79237,-
25396,32,486,75155,-
25396,64,502,101280,-
25396,128,495,49234,-
28571,1,1469,4797,SHOT
28571,2,930,4798,-
28571,4,705,4799,-
28571,8,592,49177,-
28571,16,512,79237,-
28571,32,486,75155,-
28571,64,502,101280,-
28571,128,495,49234,-
31746,1,1394,4796,-
31746,2,885,202006,-
31746,4,650,214833,-
31746,8,599,49176,-
31746,16,505,79236,-
31746,32,456,75150,-
31746,64,510,101282,-
31746,128,494,49233,-
34920,1,1397,4796,-
34920,2,933,4797,-
34920,4,679,4796,-
34920,8,598,49176,-
34920,16,508,79236,-
34920,32,453,75154,-
34920,64,503,101281,-
34920,128,497,49233,-
38095,1,1415,202005,SHOT
38095,2,886,202005,-
38095,4,665,4795,-
38095,8,568,75160,-
38095,16,502,79236,-
38095,32,446,75155,-
38095,64,519,101281,-
38095,128,499,49233,-
41269,1,1414,202005,SHOT
41269,2,903,4796,-
41269,4,676,202007,-
41269,8,581,75160,-
41269,16,502,79236,-
41269,32,454,75153,-
41269,64,515,101281,-
41269,128,498,49234,-
44444,1,1352,4794,-
44444,2,928,4795,-
44444,4,678,4796,-
44444,8,577,75159,-
44444,16,491,52050,-
44444,32,463,75147,-
44444,64,521,101280,-
44444,128,497,49233,-
47619,1,1340,4794,-
47619,2,931,4795,-
47619,4,682,4796,-
47619,8,576,75159,-
47619,16,497,52050,-
47619,32,462,75147,-
47619,64,518,101280,-
47619,128,500,49234,-
50793,1,1224,4793,-
50793,2,847,4794,-
50793,4,685,4793,-
50793,8,590,75159,-
50793,16,503,52049,-
50793,32,505,75146,-
50793,64,519,101280,-
50793,128,499,49233,-
53968,1,1224,4793,-
53968,2,847,4794,-
53968,4,685,4793,-
53968,8,590,75159,-
53968,16,503,52049,-
53968,32,505,75146,-
53968,64,519,101280,-
53968,128,499,49233,-
57142,1,1224,4793,-
57142,2,847,4794,-
57142,4,685,4793,-
57142,8,590,75159,-
57142,16,503,52049,-
57142,32,505,75146,-
57142,64,519,101280,-
57142,128,499,49233,-
60317,1,1213,4792,-
60317,2,860,2969,-
60317,4,685,4792,-
60317,8,596,75158,-
60317,16,509,259877,-
60317,32,506,75145,-
60317,64,505,101279,-
60317,128,482,49233,-
63492,1,1213,4792,-
63492,2,860,2969,-
63492,4,685,4792,-
63492,8,596,75158,-
63492,16,509,259877,-
63492,32,506,75145,-
63492,64,505,101279,-
63492,128,482,49233,-
66666,1,1284,4791,-
66666,2,985,4791,-
66666,4,739,4790,-
66666,8,585,75156,-
66666,16,515,259877,-
66666,32,537,75144,-
66666,64,495,101278,-
66666,128,477,49233,-
69841,1,1283,4791,-
69841,2,918,4791,-
69841,4,702,4790,-
69841,8,590,75157,-
69841,16,509,75152,-
69841,32,548,75144,-
69841,64,495,101278,-
69841,128,472,49233,-
73015,1,1384,4790,-
73015,2,948,4790,-
73015,4,758,4789,-
73015,8,596,149374,-
73015,16,510,259877,-
73015,32,550,75144,-
73015,64,492,101276,-
73015,128,470,49233,-
76190,1,1419,4790,SHOT
76190,2,967,4790,-
76190,4,760,4789,-
76190,8,587,75156,-
