dm,width,sigma_x100,t,verdict
0,1,1176,38453,-
0,2,834,38454,-
0,4,610,169894,-
0,8,573,77921,-
0,16,495,181118,-
0,32,542,9327,-
0,64,440,133234,-
0,128,415,9358,-
3174,1,1176,38453,-
3174,2,834,38454,-
3174,4,610,169894,-
3174,8,573,77921,-
3174,16,495,181118,-
3174,32,542,9327,-
3174,64,440,133234,-
3174,128,415,9358,-
6349,1,1176,38453,-
6349,2,834,38454,-
6349,4,610,169894,-
6349,8,573,77921,-
6349,16,495,181118,-
6349,32,542,9327,-
6349,64,440,133234,-
6349,128,415,9358,-
9523,1,1250,38453,-
9523,2,831,38454,-
9523,4,629,129598,-
9523,8,555,77920,-
9523,16,493,181118,-
9523,32,514,9327,-
9523,64,432,133234,-
9523,128,414,9363,-
12698,1,1301,38453,-
12698,2,826,38454,-
12698,4,635,129598,-
12698,8,566,77920,-
12698,16,497,182937,-
12698,32,513,9327,-
12698,64,433,133233,-
12698,128,407,9364,-
15873,1,1158,38453,-
15873,2,935,129598,-
15873,4,665,129598,-
15873,8,544,169892,-
15873,16,527,96869,-
15873,32,501,9327,-
15873,64,433,130309,-
15873,128,411,9362,-
19047,1,1143,38453,-
19047,2,912,214377,-
19047,4,662,129598,-
19047,8,549,169892,-
19047,16,526,96869,-
19047,32,498,133250,-
19047,64,430,130309,-
19047,128,410,9359,-
22222,1,1124,38453,-
22222,2,896,129597,-
22222,4,658,129597,-
22222,8,616,182939,-
22222,16,579,96868,-
22222,32,503,133247,-
22222,64,437,130308,-
22222,128,416,9361,-
25396,1,1108,38453,-
25396,2,854,129597,-
25396,4,667,129597,-
25396,8,587,182939,-
25396,16,586,96868,-
25396,32,489,133248,-
25396,64,422,130308,-
25396,128,416,9361,-
28571,1,1108,38453,-
28571,2,854,129597,-
28571,4,667,129597,-
28571,8,587,182939,-
28571,16,586,96868,-
28571,32,489,133248,-
28571,64,422,130308,-
28571,128,416,9361,-
31746,1,1108,38453,-
31746,2,813,129596,-
31746,4,671,129597,-
31746,8,633,182938,-
31746,16,574,96867,-
31746,32,503,133247,-
31746,64,432,130307,-
31746,128,417,9360,-
34920,1,1073,38453,-
34920,2,769,129596,-
34920,4,666,129596,-
34920,8,603,182938,-
34920,16,580,96867,-
34920,32,505,133247,-
34920,64,421,130308,-
34920,128,416,9360,-
38095,1,1128,230340,-
38095,2,832,230340,-
38095,4,630,129596,-
38095,8,586,182938,-
38095,16,580,96867,-
38095,32,501,133247,-
38095,64,422,130306,-
38095,128,416,9359,-
41269,1,1094,38453,-
41269,2,865,96861,-
41269,4,664,232831,-
41269,8,586,182937,-
41269,16,583,96867,-
41269,32,509,133247,-
41269,64,419,130306,-
41269,128,429,9359,-
44444,1,1273,230339,-
44444,2,887,230340,-
44444,4,646,122899,-
44444,8,560,182936,-
44444,16,575,96866,-
44444,32,498,133247,-
44444,64,422,130305,-
44444,128,425,9359,-
47619,1,1184,38453,-
47619,2,898,230339,-
47619,4,631,132987,-
47619,8,573,182936,-
47619,16,583,96866,-
47619,32,498,133247,-
47619,64,418,9309,-
47619,128,425,9359,-
50793,1,1329,230338,-
50793,2,951,230339,-
50793,4,750,38455,-
50793,8,590,124610,-
50793,16,585,96866,-
50793,32,482,9325,-
50793,64,420,9309,-
50793,128,421,9358,-
53968,1,1329,230338,-
53968,2,951,230339,-
53968,4,750,38455,-
53968,8,590,124610,-
53968,16,585,96866,-
53968,32,482,9325,-
53968,64,420,9309,-
53968,128,421,9358,-
57142,1,1329,230338,-
57142,2,951,230339,-
57142,4,750,38455,-
57142,8,590,124610,-
57142,16,585,96866,-
57142,32,482,9325,-
57142,64,420,9309,-
57142,128,421,9358,-
60317,1,1228,230337,-
60317,2,899,230338,-
60317,4,746,38455,-
60317,8,628,124609,-
60317,16,562,96867,-
60317,32,479,133246,-
60317,64,413,9308,-
60317,128,419,9357,-
63492,1,1228,230337,-
63492,2,899,230338,-
63492,4,746,38455,-
63492,8,628,124609,-
63492,16,562,96867,-
63492,32,479,133246,-
63492,64,413,9308,-
63492,128,419,9357,-
66666,1,1158,38453,-
66666,2,1089,38454,-
66666,4,758,38454,-
66666,8,616,124608,-
66666,16,573,96867,-
66666,32,478,133246,-
66666,64,416,9308,-
66666,128,408,9349,-
69841,1,1189,230336,-
69841,2,1105,38454,-
69841,4,737,38455,-
69841,8,617,124608,-
69841,16,561,96864,-
69841,32,475,133246,-
69841,64,413,195302,-
69841,128,413,9356,-
73015,1,1467,38453,SHOT
73015,2,1041,38454,-
73015,4,717,38454,-
73015,8,585,96865,-
73015,16,583,96866,-
73015,32,472,133246,-
73015,64,413,195302,-
73015,128,402,9350,-
76190,1,1472,38453,SHOT
76190,2,1090,38454,-
76190,4,758,38453,-
76190,8,593,96865,-
76190,16,570,96866,-
76190,32,471,133246,-
76190,64,419,195301,-
76190,128,401,9351,-
79365,1,1453,38453,SHOT
79365,2,1103,38454,-
79365,4,765,38453,-
79365,8,582,96865,-
79365,16,567,9330,-
79365,32,464,133246,-
79365,64,421,195301,-
79365,128,404,9355,-
82539,1,1220,47215,-
82539,2,959,38453,-
82539,4,741,38453,-
82539,8,556,96864,-
82539,16,571,96864,-
82539,32,467,42923,-
