tag,seg,rank,bin,alpha_hz_x100,ratio_x100,log10p_x100,hit
Y2,32768,0,494,4416704,109,-59,0
Y2,32768,1,1887,16871094,108,-31,0
Y2,32768,2,1777,15887618,108,-16,0
Y2,32768,3,642,5739927,108,-10,0
Y2,32768,4,284,2539157,108,-7,0
Y2,32768,5,5471,48914551,108,-6,0
Y2,32768,6,1639,14653801,108,-6,0
Y2,32768,7,473,4228949,108,-5,0
Y2,32768,8,1347,12043118,108,-4,0
Y2,32768,9,2894,25874376,108,-3,0
Y2,32768,10,9710,86814165,108,-2,0
Y2,32768,11,538,4810094,108,-2,0
Y2,32768,12,1365,12204051,107,-1,0
Y2,32768,13,438,3916025,107,-1,0
Y2,32768,14,2041,18247961,107,0,0
Y4,32768,0,473,4228949,109,-93,0
Y4,32768,1,2890,25838613,108,-26,0
Y4,32768,2,1162,10389089,108,-9,0
Y4,32768,3,1038,9280443,108,-7,0
Y4,32768,4,2631,23522973,108,-2,0
Y4,32768,5,4942,44184923,108,-1,0
Y4,32768,6,6210,55521726,107,0,0
Y4,32768,7,534,4774332,107,0,0
Y4,32768,8,2660,23782253,107,0,0
Y4,32768,9,3119,27886033,107,0,0
Y4,32768,10,15355,137284398,107,0,0
Y4,32768,11,2818,25194883,107,0,0
Y4,32768,12,1067,9539723,107,0,0
Y4,32768,13,4320,38623809,107,0,0
Y4,32768,14,910,8136034,107,0,0
