dm,width,sigma_x100,t,verdict
0,1,977,11246,-
0,2,752,11246,-
0,4,696,46735,-
0,8,576,46736,-
0,16,505,46735,-
0,32,444,30927,-
0,64,455,25208,-
0,128,349,14444,-
3174,1,977,11246,-
3174,2,752,11246,-
3174,4,696,46735,-
3174,8,576,46736,-
3174,16,505,46735,-
3174,32,444,30927,-
3174,64,455,25208,-
3174,128,349,14444,-
6349,1,977,11246,-
6349,2,752,11246,-
6349,4,696,46735,-
6349,8,576,46736,-
6349,16,505,46735,-
6349,32,444,30927,-
6349,64,455,25208,-
6349,128,349,14444,-
9523,1,991,46733,-
9523,2,823,46733,-
9523,4,680,46735,-
9523,8,599,46735,-
9523,16,517,46735,-
9523,32,437,30927,-
9523,64,455,25208,-
9523,128,353,14445,-
12698,1,947,46733,-
12698,2,792,46733,-
12698,4,678,46735,-
12698,8,591,46735,-
12698,16,488,46736,-
12698,32,438,30927,-
12698,64,460,25208,-
12698,128,359,14445,-
15873,1,1094,46732,-
15873,2,853,46732,-
15873,4,632,48461,-
15873,8,619,46735,-
15873,16,506,46730,-
15873,32,431,30927,-
15873,64,454,25208,-
15873,128,355,14444,-
19047,1,1091,46732,-
19047,2,813,46732,-
19047,4,627,48461,-
19047,8,600,46734,-
19047,16,531,46730,-
19047,32,438,30927,-
19047,64,454,25208,-
19047,128,356,14444,-
22222,1,1090,29998,-
22222,2,794,46731,-
22222,4,653,46730,-
22222,8,638,46734,-
22222,16,544,46730,-
22222,32,444,30927,-
22222,64,452,25208,-
22222,128,352,14443,-
25396,1,1086,29998,-
25396,2,808,29998,-
25396,4,668,46730,-
25396,8,609,46734,-
25396,16,538,46729,-
25396,32,445,30927,-
25396,64,450,25210,-
25396,128,353,14443,-
28571,1,1086,29998,-
28571,2,808,29998,-
28571,4,668,46730,-
28571,8,609,46734,-
28571,16,538,46729,-
28571,32,445,30927,-
28571,64,450,25210,-
28571,128,353,14443,-
31746,1,1108,29997,-
31746,2,780,46730,-
31746,4,656,46730,-
31746,8,658,46733,-
31746,16,545,46729,-
31746,32,427,30926,-
31746,64,444,25210,-
31746,128,344,14443,-
34920,1,1110,29997,-
34920,2,774,29997,-
34920,4,660,46730,-
34920,8,631,46733,-
34920,16,526,46729,-
34920,32,429,30926,-
34920,64,444,25209,-
34920,128,347,14443,-
38095,1,1051,46729,-
38095,2,974,46729,-
38095,4,706,46730,-
38095,8,662,46732,-
38095,16,528,46729,-
38095,32,422,30926,-
38095,64,443,25209,-
38095,128,347,14443,-
41269,1,1163,29996,-
41269,2,972,46729,-
41269,4,782,46730,-
41269,8,651,46732,-
41269,16,533,46729,-
41269,32,421,30926,-
41269,64,443,25209,-
41269,128,341,14443,-
44444,1,1317,46728,-
44444,2,915,46729,-
44444,4,727,46730,-
44444,8,624,46731,-
44444,16,526,46729,-
44444,32,413,35478,-
44444,64,438,25205,-
44444,128,344,43681,-
47619,1,1307,46728,-
47619,2,946,46729,-
47619,4,726,46730,-
47619,8,623,46731,-
47619,16,526,46729,-
47619,32,413,30925,-
47619,64,442,25208,-
47619,128,345,43681,-
50793,1,910,46727,-
50793,2,793,46728,-
50793,4,690,46729,-
50793,8,600,46730,-
50793,16,537,46729,-
50793,32,415,30922,-
50793,64,437,25205,-
50793,128,349,30931,-
53968,1,910,46727,-
53968,2,793,46728,-
53968,4,690,46729,-
53968,8,600,46730,-
53968,16,537,46729,-
53968,32,415,30922,-
53968,64,437,25205,-
53968,128,349,30931,-
57142,1,910,46727,-
57142,2,793,46728,-
57142,4,690,46729,-
57142,8,600,46730,-
57142,16,537,46729,-
57142,32,415,30922,-
57142,64,437,25205,-
57142,128,349,30931,-
60317,1,1056,38028,-
60317,2,792,9806,-
60317,4,681,46728,-
60317,8,602,46729,-
60317,16,492,46725,-
60317,32,421,30922,-
60317,64,435,25204,-
60317,128,352,14437,-
63492,1,1056,38028,-
63492,2,792,9806,-
63492,4,681,46728,-
63492,8,602,46729,-
63492,16,492,46725,-
63492,32,421,30922,-
63492,64,435,25204,-
63492,128,352,14437,-
66666,1,958,29992,-
66666,2,771,38028,-
66666,4,600,46727,-
66666,8,557,46728,-
66666,16,494,46725,-
66666,32,423,30921,-
66666,64,444,25204,-
66666,128,358,14437,-
69841,1,1030,46725,-
69841,2,762,9805,-
69841,4,651,46727,-
69841,8,590,46728,-
69841,16,500,46724,-
69841,32,422,30921,-
69841,64,436,25200,-
69841,128,358,14437,-
73015,1,990,46724,-
73015,2,731,9805,-
73015,4,560,46723,-
73015,8,557,46728,-
73015,16,499,46724,-
73015,32,421,30921,-
73015,64,440,25203,-
73015,128,359,14436,-
76190,1,1002,29991,-
76190,2,746,9805,-
76190,4,561,46723,-
76190,8,563,46727,-
76190,16,500,46724,-
76190,32,420,30921,-
76190,64,439,25203,-
76190,128,358,14436,-
79365,1,1017,29991,-
79365,2,770,9805,-
79365,4,585,46723,-
79365,8,576,46727,-
79365,16,495,46723,-
79365,32,420,30921,-
79365,64,441,25200,-
79365,128,361,14436,-
82539,1,1009,29990,-
82539,2,683,46724,-
82539,4,657,46722,-
82539,8,569,46727,-
82539,16,515,46723,-
82539,32,424,35469,-
82539,64,439,25200,-
82539,128,352,14435,-
85714,1,1031,29990,-
85714,2,720,57049,-
85714,4,660,46722,-
85714,8,588,46726,-
85714,16,518,46723,-
85714,32,423,35469,-
85714,64,440,25200,-
85714,128,351,14435,-
88888,1,993,29989,-
88888,2,745,46722,-
88888,4,639,46721,-
88888,8,574,46725,-
88888,16,496,46722,-
88888,32,421,35469,-
88888,64,441,25200,-
88888,128,360,14433,-
92063,1,1018,29989,-
92063,2,742,46722,-
92063,4,638,46721,-
92063,8,598,46725,-
92063,16,499,46722,-
92063,32,420,35468,-
92063,64,442,25200,-
92063,128,361,14433,-
95238,1,1102,46721,-
95238,2,845,16799,-
95238,4,639,46721,-
95238,8,569,46725,-
95238,16,518,46722,-
95238,32,418,35469,-
95238,64,448,25200,-
95238,128,373,14433,-
98412,1,1090,46721,-
