freq_hz,drift_x100,sigma_x100,kind
2720800025,0,11662358,dedop
2720800074,0,1118659,dedop
2720800125,0,523921,dedop
2720800175,0,180688,dedop
2720800224,0,140031,dedop
2720800199,0,126090,dedop
2720800275,0,89256,dedop
2720800324,0,56870,dedop
2720800375,0,45569,dedop
2720800400,0,39301,dedop
2720800625,0,33301,dedop
2720800424,0,30900,dedop
2720800474,0,30007,dedop
2720800525,0,23830,dedop
2720800574,0,19799,dedop
2720800050,0,15570,dedop
2720800875,0,13225,dedop
2720800187,0,12842,dedop
2720800725,0,12751,dedop
2720800674,0,12700,dedop
2720800250,0,12243,dedop
2720800750,0,12109,dedop
2720800150,0,12072,dedop
2720801000,0,9709,dedop
2720800312,0,9538,dedop
