bin_lo,freq_lo_mhz,mean,std,max,median,top3(bin:val)
0,2720.800781,5.39383e+09,5.57422e+10,5.72699e+13,5.47655e+09,1572864:5.727e+13;28835840:5.72e+13;3670016:5.718e+13
1048576,2717.871094,6.96837e+09,5.57761e+10,5.72794e+13,7.08827e+09,33030144:5.728e+13;5767168:5.725e+13;9961472:5.725e+13
2097152,2714.941406,9.09632e+09,5.57419e+10,5.72103e+13,9.27266e+09,9961472:5.721e+13;27787264:5.72e+13;15204352:5.72e+13
3145728,2712.011719,1.18111e+10,5.57874e+10,5.73085e+13,1.20611e+10,33030144:5.731e+13;11010048:5.729e+13;29884416:5.729e+13
4194304,2709.082031,1.52518e+10,5.58107e+10,5.73477e+13,1.55933e+10,21495808:5.735e+13;25690112:5.73e+13;33030144:5.728e+13
5242880,2706.152344,1.98827e+10,5.58941e+10,5.74053e+13,2.03422e+10,28835840:5.741e+13;19398656:5.739e+13;31981568:5.736e+13
6291456,2703.222656,2.62571e+10,5.59299e+10,5.74763e+13,2.68972e+10,4718592:5.748e+13;26738688:5.733e+13;33030144:5.726e+13
7340032,2700.292969,3.4485e+10,5.60747e+10,5.73979e+13,3.53583e+10,25690112:5.74e+13;9961472:5.736e+13;26738688:5.735e+13
8388608,2697.363281,4.40054e+10,5.63508e+10,5.75824e+13,4.52232e+10,524288:5.758e+13;26738688:5.745e+13;11010048:5.744e+13
9437184,2694.433594,5.33893e+10,5.66001e+10,5.7528e+13,5.49632e+10,15204352:5.753e+13;1572864:5.75e+13;9961472:5.748e+13
10485760,2691.503906,6.16941e+10,5.68958e+10,5.76759e+13,6.35777e+10,4718592:5.768e+13;17301504:5.762e+13;31981568:5.752e+13
11534336,2688.574219,6.89192e+10,5.71761e+10,5.76928e+13,7.10551e+10,19398656:5.769e+13;14155776:5.767e+13;5767168:5.755e+13
12582912,2685.644531,7.55954e+10,5.736e+10,5.76016e+13,7.79602e+10,15204352:5.76e+13;19398656:5.754e+13;11010048:5.754e+13
13631488,2682.714844,8.16288e+10,8.51345e+10,8.67237e+13,8.41748e+10,16252928:8.672e+13;33030144:8.661e+13;18350080:8.651e+13
14680064,2679.785156,8.60693e+10,5.79551e+10,5.78299e+13,8.88111e+10,13107200:5.783e+13;9961472:5.781e+13;2621440:5.778e+13
15728640,2676.855469,8.79279e+10,5.791e+10,5.76738e+13,9.07332e+10,16252928:5.767e+13;31981568:5.764e+13;1572864:5.756e+13
16777216,2673.925781,8.78301e+10,5.78562e+10,5.76784e+13,9.06159e+10,15204352:5.768e+13;13107200:5.757e+13;11010048:5.755e+13
17825792,2670.996094,8.7441e+10,5.78996e+10,5.75676e+13,9.01971e+10,21495808:5.757e+13;25690112:5.753e+13;28835840:5.751e+13
18874368,2668.066406,8.83804e+10,5.78313e+10,5.78876e+13,9.11553e+10,29884416:5.789e+13;1572864:5.758e+13;31981568:5.744e+13
19922944,2665.136719,9.10043e+10,5.80782e+10,5.77837e+13,9.38666e+10,14155776:5.778e+13;12058624:5.773e+13;1572864:5.772e+13
20971520,2662.207031,9.38319e+10,5.8362e+10,5.77964e+13,9.67969e+10,12058624:5.78e+13;27787264:5.779e+13;17301504:5.779e+13
22020096,2659.277344,9.51002e+10,5.83924e+10,5.79898e+13,9.80922e+10,14155776:5.799e+13;30932992:5.768e+13;27787264:5.766e+13
23068672,2656.347656,9.51488e+10,5.83016e+10,5.77166e+13,9.81416e+10,23592960:5.772e+13;2621440:5.769e+13;16252928:5.761e+13
