tag,seg,rank,bin,alpha_hz_x100,ratio_x100,log10p_x100,hit
Y2,32768,0,2,17881,113,-449,1
Y2,32768,1,15958,142675638,108,-30,0
Y2,32768,2,3140,28073787,108,-19,0
Y2,32768,3,354,3165006,108,-15,0
Y2,32768,4,16327,145974755,108,-11,0
Y2,32768,5,16091,143864750,108,-8,0
Y2,32768,6,13287,118795037,108,-1,0
Y2,32768,7,12805,114485621,107,0,0
Y2,32768,8,9929,88772177,107,0,0
Y2,32768,9,1254,11211633,107,0,0
Y2,32768,10,13948,124704837,107,0,0
Y2,32768,11,4703,42048096,107,0,0
Y2,32768,12,1849,16531348,107,0,0
Y2,32768,13,15682,140208005,107,0,0
Y2,32768,14,3731,33357739,107,0,0
Y4,32768,0,2,17881,113,-449,1
Y4,32768,1,15958,142675638,108,-30,0
Y4,32768,2,3140,28073787,108,-19,0
Y4,32768,3,354,3165006,108,-15,0
Y4,32768,4,16327,145974755,108,-11,0
Y4,32768,5,16091,143864750,108,-8,0
Y4,32768,6,13287,118795037,108,-1,0
Y4,32768,7,12805,114485621,107,0,0
Y4,32768,8,9929,88772177,107,0,0
Y4,32768,9,1254,11211633,107,0,0
Y4,32768,10,13948,124704837,107,0,0
Y4,32768,11,4703,42048096,107,0,0
Y4,32768,12,1849,16531348,107,0,0
Y4,32768,13,15682,140208005,107,0,0
Y4,32768,14,3731,33357739,107,0,0
Y6,32768,0,2,17881,113,-449,1
Y6,32768,1,15958,142675638,108,-30,0
Y6,32768,2,3140,28073787,108,-19,0
Y6,32768,3,354,3165006,108,-15,0
Y6,32768,4,16327,145974755,108,-11,0
Y6,32768,5,16091,143864750,108,-8,0
Y6,32768,6,13287,118795037,108,-1,0
Y6,32768,7,12805,114485621,107,0,0
Y6,32768,8,9929,88772177,107,0,0
Y6,32768,9,1254,11211633,107,0,0
Y6,32768,10,13948,124704837,107,0,0
Y6,32768,11,4703,42048096,107,0,0
Y6,32768,12,1849,16531348,107,0,0
Y6,32768,13,15682,140208005,107,0,0
Y6,32768,14,3731,33357739,107,0,0
