tag,seg,rank,bin,alpha_hz_x100,ratio_x100,log10p_x100,hit
Y2,32768,0,2,17881,112,-292,1
Y2,32768,1,9842,87994337,109,-93,0
Y2,32768,2,3426,30630826,108,-29,0
Y2,32768,3,15403,137713551,108,-3,0
Y2,32768,4,6083,54386258,107,0,0
Y2,32768,5,13614,121718645,107,0,0
Y2,32768,6,14655,131025910,107,0,0
Y2,32768,7,8744,78177452,107,0,0
Y2,32768,8,2938,26267766,107,0,0
Y2,32768,9,16328,145983695,107,0,0
Y2,32768,10,11156,99742412,107,0,0
Y2,32768,11,8966,80162286,107,0,0
Y2,32768,12,7717,68995356,107,0,0
Y2,32768,13,13864,123953819,107,0,0
Y2,32768,14,5556,49674510,107,0,0
Y4,32768,0,2,17881,112,-292,1
Y4,32768,1,9842,87994337,109,-93,0
Y4,32768,2,3426,30630826,108,-29,0
Y4,32768,3,15403,137713551,108,-3,0
Y4,32768,4,6083,54386258,107,0,0
Y4,32768,5,13614,121718645,107,0,0
Y4,32768,6,14655,131025910,107,0,0
Y4,32768,7,8744,78177452,107,0,0
Y4,32768,8,2938,26267766,107,0,0
Y4,32768,9,16328,145983695,107,0,0
Y4,32768,10,11156,99742412,107,0,0
Y4,32768,11,8966,80162286,107,0,0
Y4,32768,12,7717,68995356,107,0,0
Y4,32768,13,13864,123953819,107,0,0
Y4,32768,14,5556,49674510,107,0,0
Y6,32768,0,2,17881,112,-292,1
Y6,32768,1,9842,87994337,109,-93,0
Y6,32768,2,3426,30630826,108,-29,0
Y6,32768,3,15403,137713551,108,-3,0
Y6,32768,4,6083,54386258,107,0,0
Y6,32768,5,13614,121718645,107,0,0
Y6,32768,6,14655,131025910,107,0,0
Y6,32768,7,8744,78177452,107,0,0
Y6,32768,8,2938,26267766,107,0,0
Y6,32768,9,16328,145983695,107,0,0
Y6,32768,10,11156,99742412,107,0,0
Y6,32768,11,8966,80162286,107,0,0
Y6,32768,12,7717,68995356,107,0,0
Y6,32768,13,13864,123953819,107,0,0
Y6,32768,14,5556,49674510,107,0,0
