dm,width,sigma_x100,t,verdict
0,1,715,44181,-
0,2,632,17420,-
0,4,515,63368,-
0,8,426,17417,-
0,16,454,15651,-
0,32,430,8092,-
0,64,353,8085,-
0,128,279,47119,-
3225,1,718,5082,-
3225,2,607,52679,-
3225,4,521,40007,-
3225,8,498,39518,-
3225,16,472,39519,-
3225,32,422,39526,-
3225,64,378,8054,-
3225,128,299,11641,-
6451,1,900,44088,-
6451,2,698,44011,-
6451,4,577,38833,-
6451,8,508,49716,-
6451,16,437,20744,-
6451,32,460,12000,-
6451,64,365,9196,-
6451,128,275,11604,-
9677,1,751,44217,-
9677,2,631,6521,-
9677,4,521,8115,-
9677,8,548,44046,-
9677,16,418,18254,-
9677,32,365,43855,-
9677,64,347,9163,-
9677,128,300,11999,-
12903,1,747,55648,-
12903,2,674,43819,-
12903,4,600,11992,-
12903,8,542,11994,-
12903,16,540,11990,-
12903,32,560,11995,-
12903,64,373,12001,-
12903,128,306,11951,-
16129,1,837,43949,-
16129,2,614,10615,-
16129,4,590,51005,-
16129,8,492,43953,-
16129,16,491,12810,-
16129,32,435,11007,-
16129,64,407,11968,-
16129,128,311,11939,-
19354,1,837,59662,-
19354,2,622,8864,-
19354,4,642,40573,-
19354,8,604,10322,-
19354,16,405,40293,-
19354,32,363,7107,-
19354,64,348,39313,-
19354,128,287,45350,-
22580,1,819,43856,-
22580,2,690,8818,-
22580,4,536,61210,-
22580,8,456,9199,-
22580,16,454,9197,-
22580,32,403,9204,-
22580,64,365,45268,-
22580,128,312,45293,-
25806,1,818,59569,-
25806,2,656,59570,-
25806,4,614,59571,-
25806,8,493,13758,-
25806,16,453,43808,-
25806,32,444,43807,-
25806,64,335,19782,-
25806,128,319,41559,-
29032,1,813,7039,-
29032,2,642,52679,-
29032,4,586,19751,-
29032,8,473,19749,-
29032,16,479,19752,-
29032,32,454,40014,-
29032,64,343,41536,-
29032,128,286,41557,-
32258,1,980,43716,-
32258,2,634,43540,-
32258,4,551,61833,-
32258,8,449,45264,-
32258,16,455,45271,-
32258,32,429,45276,-
32258,64,434,45128,-
32258,128,275,45314,-
35483,1,894,43670,-
35483,2,678,26639,-
35483,4,533,26640,-
35483,8,485,5097,-
35483,16,481,5094,-
35483,32,492,5086,-
35483,64,403,45097,-
35483,128,304,45129,-
38709,1,895,43623,-
38709,2,607,52679,-
38709,4,572,7268,-
38709,8,610,15595,-
38709,16,575,15591,-
38709,32,419,46584,-
38709,64,339,45995,-
38709,128,324,45081,-
41935,1,893,43577,-
41935,2,722,52679,-
41935,4,555,60417,-
41935,8,497,60415,-
41935,16,480,17417,-
41935,32,417,46560,-
41935,64,342,46578,-
41935,128,288,13833,-
45161,1,703,9105,-
45161,2,630,39403,-
45161,4,563,4310,-
45161,8,601,21269,-
45161,16,522,21271,-
45161,32,416,47405,-
45161,64,333,46554,-
45161,128,303,45076,-
48387,1,809,45285,-
48387,2,698,45286,-
48387,4,597,43307,-
48387,8,527,43305,-
48387,16,464,43302,-
48387,32,389,43090,-
48387,64,379,43099,-
48387,128,298,40124,-
51612,1,819,14479,-
51612,2,616,22784,-
51612,4,526,36927,-
51612,8,512,14476,-
51612,16,496,44110,-
51612,32,400,38742,-
51612,64,354,38750,-
51612,128,339,45075,-
54838,1,874,20823,-
54838,2,816,42874,-
54838,4,680,42873,-
54838,8,588,42876,-
54838,16,439,42873,-
54838,32,393,38735,-
54838,64,379,38756,-
54838,128,346,45054,-
58064,1,859,43344,-
58064,2,682,15244,-
58064,4,565,38182,-
58064,8,536,42387,-
58064,16,525,45024,-
58064,32,503,45032,-
58064,64,446,38737,-
58064,128,335,38762,-
61290,1,720,42781,-
61290,2,576,40954,-
61290,4,534,6143,-
61290,8,511,13853,-
61290,16,466,40555,-
61290,32,445,40560,-
61290,64,384,38720,-
61290,128,326,40999,-
64516,1,800,42735,-
64516,2,741,43075,-
64516,4,736,43075,-
64516,8,589,43074,-
64516,16,504,43070,-
64516,32,474,43079,-
64516,64,356,40970,-
64516,128,364,41002,-
67741,1,792,42688,-
67741,2,656,42688,-
67741,4,709,17410,-
67741,8,623,17412,-
67741,16,520,17416,-
67741,32,501,17424,-
67741,64,388,40945,-
67741,128,351,40956,-
70967,1,851,55754,-
70967,2,580,58311,-
70967,4,556,15128,-
70967,8,569,15127,-
70967,16,515,15127,-
70967,32,454,28459,-
70967,64,485,40944,-
70967,128,380,40912,-
74193,1,888,43111,-
74193,2,696,22626,-
74193,4,639,12008,-
74193,8,519,53427,-
74193,16,452,44678,-
74193,32,482,11994,-
74193,64,402,40923,-
74193,128,342,45015,-
77419,1,962,42549,-
77419,2,733,64150,-
77419,4,606,42548,-
77419,8,483,39892,-
77419,16,498,17271,-
77419,32,404,47164,-
77419,64,388,44648,-
77419,128,317,42936,-
80645,1,1000,64103,-
80645,2,810,64103,-
80645,4,656,12009,-
80645,8,496,42505,-
80645,16,462,38704,-
80645,32,437,10959,-
80645,64,423,39710,-
80645,128,302,47156,-
83870,1,1006,42972,-
83870,2,882,42973,-
83870,4,736,42973,-
83870,8,663,42975,-
83870,16,478,42979,-
83870,32,489,6889,-
83870,64,385,45027,-
83870,128,340,42925,-
87096,1,801,42925,-
87096,2,686,42926,-
87096,4,644,15126,-
87096,8,549,15124,-
87096,16,558,45027,-
87096,32,442,45033,-
87096,64,447,45011,-
87096,128,351,45015,-
90322,1,903,42879,-
90322,2,798,53521,-
90322,4,639,42881,-
90322,8,584,42880,-
90322,16,500,42884,-
90322,32,411,42878,-
90322,64,446,45009,-
90322,128,362,44993,-
93548,1,813,17810,-
93548,2,615,21272,-
93548,4,567,7198,-
93548,8,625,15124,-
93548,16,571,15121,-
93548,32,413,47036,-
93548,64,401,44968,-
93548,128,393,44993,-
96774,1,812,48407,-
96774,2,682,52679,-
96774,4,633,19146,-
96774,8,584,19145,-
96774,16,458,48414,-
96774,32,388,16396,-
96774,64,358,16369,-
96774,128,325,44987,-
100000,1,793,42739,-
100000,2,649,57328,-
100000,4,540,51794,-
100000,8,531,7200,-
100000,16,486,47171,-
100000,32,376,45827,-
100000,64,341,7173,-
100000,128,322,7149,-
