dm,width,sigma_x100,t,verdict
0,1,758,48427,-
0,2,756,13859,-
0,4,547,13858,-
0,8,462,48428,-
0,16,517,12595,-
0,32,436,12585,-
0,64,422,12589,-
0,128,329,12537,-
3225,1,863,44270,-
3225,2,752,31812,-
3225,4,650,12553,-
3225,8,511,56935,-
3225,16,439,24988,-
3225,32,485,12544,-
3225,64,393,12543,-
3225,128,380,12496,-
6451,1,855,45636,-
6451,2,661,12507,-
6451,4,570,12508,-
6451,8,520,43016,-
6451,16,404,25804,-
6451,32,437,12494,-
6451,64,452,12506,-
6451,128,410,12505,-
9677,1,792,14866,-
9677,2,699,44177,-
9677,4,614,12462,-
9677,8,492,44945,-
9677,16,425,50998,-
9677,32,472,12474,-
9677,64,437,12458,-
9677,128,384,12456,-
12903,1,865,12414,-
12903,2,638,56847,-
12903,4,595,56846,-
12903,8,537,12595,-
12903,16,492,41622,-
12903,32,460,12407,-
12903,64,403,12416,-
12903,128,399,12455,-
16129,1,854,23031,-
16129,2,663,12368,-
16129,4,556,30073,-
16129,8,527,19258,-
16129,16,477,19262,-
16129,32,403,55560,-
16129,64,348,12577,-
16129,128,345,12384,-
19354,1,904,12321,-
19354,2,653,12321,-
19354,4,574,21631,-
19354,8,586,45956,-
19354,16,527,45952,-
19354,32,402,40415,-
19354,64,389,40385,-
19354,128,326,12507,-
22580,1,766,10009,-
22580,2,627,31812,-
22580,4,564,12274,-
22580,8,470,17479,-
22580,16,447,42821,-
22580,32,399,40373,-
22580,64,378,40371,-
22580,128,328,12480,-
25806,1,745,12228,-
25806,2,663,28584,-
25806,4,619,46952,-
25806,8,499,30078,-
25806,16,545,30079,-
25806,32,586,12214,-
25806,64,528,12217,-
25806,128,347,42717,-
29032,1,832,12182,-
29032,2,708,12182,-
29032,4,592,54462,-
29032,8,567,24995,-
29032,16,499,12206,-
29032,32,524,12197,-
29032,64,479,12187,-
29032,128,364,42695,-
32258,1,791,22798,-
32258,2,630,23031,-
32258,4,581,23802,-
32258,8,488,23804,-
32258,16,456,40141,-
32258,32,441,45958,-
32258,64,447,42660,-
32258,128,372,42692,-
35483,1,798,12089,-
35483,2,702,44944,-
35483,4,535,44943,-
35483,8,476,54460,-
35483,16,447,41016,-
35483,32,423,46819,-
35483,64,429,42623,-
35483,128,385,42614,-
38709,1,792,12042,-
38709,2,667,12042,-
38709,4,536,45957,-
38709,8,508,45956,-
38709,16,450,16871,-
38709,32,442,8357,-
38709,64,436,8346,-
38709,128,379,8309,-
41935,1,950,11996,-
41935,2,788,11997,-
41935,4,688,11995,-
41935,8,533,11995,-
41935,16,482,42542,-
41935,32,509,11982,-
41935,64,371,8313,-
41935,128,375,42590,-
45161,1,812,13207,-
45161,2,666,15389,-
45161,4,575,36813,-
45161,8,499,36814,-
45161,16,426,23828,-
45161,32,364,45913,-
45161,64,371,8267,-
45161,128,368,42550,-
48387,1,876,11903,-
48387,2,786,11903,-
48387,4,556,15506,-
48387,8,523,39026,-
48387,16,426,41657,-
48387,32,395,41667,-
48387,64,343,41641,-
48387,128,320,42503,-
51612,1,842,11856,-
51612,2,740,25033,-
51612,4,701,50659,-
51612,8,553,50660,-
51612,16,423,15337,-
51612,32,406,13496,-
51612,64,361,12231,-
51612,128,313,12263,-
54838,1,789,57160,-
54838,2,783,9543,-
54838,4,690,21631,-
54838,8,531,40039,-
54838,16,480,40042,-
54838,32,438,40047,-
54838,64,349,12229,-
54838,128,349,12250,-
58064,1,755,55135,-
58064,2,677,11763,-
58064,4,571,46123,-
58064,8,501,15252,-
58064,16,494,41766,-
58064,32,417,57949,-
58064,64,380,40011,-
58064,128,352,12215,-
61290,1,840,9862,-
61290,2,692,11716,-
61290,4,550,23961,-
61290,8,507,45683,-
61290,16,437,12397,-
61290,32,453,57921,-
61290,64,413,57919,-
61290,128,315,12210,-
64516,1,817,11670,-
64516,2,691,15858,-
64516,4,626,15857,-
64516,8,444,44680,-
64516,16,529,41675,-
64516,32,436,7215,-
64516,64,345,43522,-
64516,128,302,12182,-
67741,1,945,11623,-
67741,2,733,11623,-
67741,4,642,11622,-
67741,8,472,11623,-
67741,16,502,40357,-
67741,32,412,40365,-
67741,64,356,41651,-
67741,128,303,41619,-
70967,1,821,38781,-
70967,2,631,11135,-
70967,4,617,11756,-
70967,8,520,11758,-
70967,16,484,7906,-
70967,32,425,11570,-
70967,64,386,11576,-
70967,128,259,41591,-
74193,1,856,1413,-
74193,2,746,11530,-
74193,4,672,21631,-
74193,8,545,11531,-
74193,16,472,8347,-
74193,32,421,38256,-
