file	chan	n	distinct	sd	kurt	tail_x_null	spikes_gt10	spike_rate_hz	bursts	burst_rate_hz	spikes_per_burst	phase_mod8_chi2	burst_top_periods_hz
off0016_blc04	60	67108864	43	3.745	-0.00	0.91	0	0.0	0	0.0	0.00	0.00	[]
off0016_blc04	63	67108864	97	2.243	2.08	0.91	71	3.1	39	1.7	1.82	2.35	[(4999.107, 0), (4998.408, 0), (4997.71, 0), (4997.011, 0), (4996.313, 0)]
off0018_blc04	60	67108864	162	3.757	0.35	1.09	157	6.9	57	2.5	2.75	2.95	[(2139.481, 1), (4278.962, 1), (3810.972, 1), (1671.491, 1), (467.99, 1)]
off0018_blc04	63	67108864	239	2.263	27.68	1.18	924	40.3	141	6.2	6.55	2.87	[(4557.66, 2), (1158.1, 2), (3399.56, 2), (2856.134, 2), (1698.034, 2)]
on0015_blc04	60	67108864	46	3.875	0.00	0.57	0	0.0	0	0.0	0.00	0.00	[]
on0015_blc04	63	67108864	30	2.314	-0.00	1.40	0	0.0	0	0.0	0.00	0.00	[]
on0017_blc00	60	67108864	256	1.700	1360.79	3.26	12720	555.3	748	32.7	17.01	3.53	[(0.698, 22), (6.286, 20), (5.588, 18), (3461.726, 16), (688.713, 16)]
on0017_blc00	63	67108864	255	1.322	386.14	1.39	1527	66.7	131	5.7	11.66	1.20	[(3787.922, 8), (4049.856, 8), (3135.53, 8), (261.934, 7), (4659.64, 7)]
on0017_blc01	60	67108864	256	16.904	3.05	46.94	0	0.0	0	0.0	0.00	0.00	[]
on0017_blc01	63	67108864	256	17.710	2.51	39.35	0	0.0	0	0.0	0.00	0.00	[]
on0017_blc04_0000	60	67108864	256	4.243	59.80	6.09	17719	773.5	1653	72.2	10.72	1.43	[(0.698, 22), (6.286, 20), (5.588, 18), (682.427, 17), (688.713, 16)]
on0017_blc04_0000	63	67108864	256	2.433	70.97	1.50	3438	150.1	272	11.9	12.64	2.69	[(3787.922, 7), (748.783, 7), (4921.574, 7), (261.934, 7), (4536.705, 7)]
on0017_blc04_0001	60	67108864	256	4.186	52.98	5.08	14815	646.8	1541	67.3	9.61	3.80	[(4485.715, 15), (3445.661, 14), (4485.017, 14), (2412.591, 14), (1375.331, 13)]
on0017_blc04_0001	63	67108864	256	2.403	50.22	1.01	2079	90.8	180	7.9	11.55	2.50	[(2411.194, 7), (4611.444, 6), (1191.627, 6), (1506.647, 6), (4600.268, 6)]
