file	chan	blocks	blocks_maxz_gt20	maxz_min	maxz_med	maxz_max
off0016_blc04	60	128	0	4.4	4.9	5.7
off0016_blc04	63	128	7	4.2	5.6	56.9
off0018_blc04	60	128	14	4.4	4.9	33.1
off0018_blc04	63	128	66	4.6	39.8	56.3
on0015_blc04	60	128	0	4.5	4.8	7.1
on0015_blc04	63	128	0	4.5	5.0	8.9
on0017_blc00	60	128	64	3.2	37.9	75.0
on0017_blc00	63	128	52	4.2	4.9	96.5
on0017_blc01	60	128	0	2.1	7.4	7.5
on0017_blc01	63	128	0	2.4	6.9	7.2
on0017_blc04_0000	60	128	128	27.7	30.1	30.1
on0017_blc04_0000	63	128	105	4.3	50.4	52.4
on0017_blc04_0001	60	128	128	26.9	30.5	30.5
on0017_blc04_0001	63	128	80	4.4	48.9	53.1
