file	chan	value	pct
off0016_blc04	60	0	10.571
off0016_blc04	60	-1	10.517
off0016_blc04	60	1	9.843
off0016_blc04	60	-2	9.837
off0016_blc04	60	-3	8.532
off0016_blc04	60	2	8.528
off0016_blc04	60	-4	6.895
off0016_blc04	60	3	6.883
off0016_blc04	63	0	17.372
off0016_blc04	63	-1	17.298
off0016_blc04	63	-2	14.262
off0016_blc04	63	1	14.241
off0016_blc04	63	-3	9.575
off0016_blc04	63	2	9.553
off0016_blc04	63	-4	5.274
off0016_blc04	63	3	5.244
off0018_blc04	60	0	10.544
off0018_blc04	60	-1	10.486
off0018_blc04	60	1	9.823
off0018_blc04	60	-2	9.817
off0018_blc04	60	-3	8.521
off0018_blc04	60	2	8.514
off0018_blc04	60	-4	6.887
off0018_blc04	60	3	6.881
off0018_blc04	63	0	17.339
off0018_blc04	63	-1	17.257
off0018_blc04	63	-2	14.243
off0018_blc04	63	1	14.214
off0018_blc04	63	-3	9.583
off0018_blc04	63	2	9.554
off0018_blc04	63	-4	5.287
off0018_blc04	63	3	5.270
on0015_blc04	60	0	10.220
on0015_blc04	60	-1	10.167
on0015_blc04	60	-2	9.567
on0015_blc04	60	1	9.561
on0015_blc04	60	-3	8.369
on0015_blc04	60	2	8.367
on0015_blc04	60	-4	6.857
on0015_blc04	60	3	6.848
on0015_blc04	63	0	16.862
on0015_blc04	63	-1	16.783
on0015_blc04	63	-2	13.998
on0015_blc04	63	1	13.977
on0015_blc04	63	-3	9.633
on0015_blc04	63	2	9.627
on0015_blc04	63	-4	5.504
on0015_blc04	63	3	5.486
on0017_blc00	60	-1	28.307
on0017_blc00	60	0	28.219
on0017_blc00	60	-2	16.042
on0017_blc00	60	1	15.642
on0017_blc00	60	-3	5.044
on0017_blc00	60	2	4.835
on0017_blc00	60	-4	0.885
on0017_blc00	60	3	0.831
on0017_blc00	63	-1	28.986
on0017_blc00	63	0	28.859
on0017_blc00	63	-2	15.913
on0017_blc00	63	1	15.481
on0017_blc00	63	-3	4.690
on0017_blc00	63	2	4.489
on0017_blc00	63	-4	0.747
on0017_blc00	63	3	0.704
on0017_blc01	60	0	3.680
on0017_blc01	60	-1	3.663
on0017_blc01	60	1	3.632
on0017_blc01	60	-2	3.632
on0017_blc01	60	-3	3.538
on0017_blc01	60	2	3.532
on0017_blc01	60	-4	3.399
on0017_blc01	60	3	3.399
on0017_blc01	63	0	3.178
on0017_blc01	63	-1	3.163
on0017_blc01	63	1	3.149
on0017_blc01	63	-2	3.148
on0017_blc01	63	2	3.095
on0017_blc01	63	-3	3.092
on0017_blc01	63	3	3.012
on0017_blc01	63	-4	3.005
on0017_blc04_0000	60	0	9.923
on0017_blc04_0000	60	-1	9.875
on0017_blc04_0000	60	1	9.323
on0017_blc04_0000	60	-2	9.318
on0017_blc04_0000	60	-3	8.223
on0017_blc04_0000	60	2	8.217
on0017_blc04_0000	60	-4	6.810
on0017_blc04_0000	60	3	6.801
on0017_blc04_0000	63	0	16.442
on0017_blc04_0000	63	-1	16.372
on0017_blc04_0000	63	-2	13.776
on0017_blc04_0000	63	1	13.765
on0017_blc04_0000	63	-3	9.669
on0017_blc04_0000	63	2	9.650
on0017_blc04_0000	63	-4	5.677
on0017_blc04_0000	63	3	5.665
on0017_blc04_0001	60	0	9.963
on0017_blc04_0001	60	-1	9.923
on0017_blc04_0001	60	1	9.358
on0017_blc04_0001	60	-2	9.357
on0017_blc04_0001	60	-3	8.242
on0017_blc04_0001	60	2	8.239
on0017_blc04_0001	60	-4	6.817
on0017_blc04_0001	60	3	6.813
on0017_blc04_0001	63	0	16.497
on0017_blc04_0001	63	-1	16.424
on0017_blc04_0001	63	-2	13.819
on0017_blc04_0001	63	1	13.809
on0017_blc04_0001	63	-3	9.668
on0017_blc04_0001	63	2	9.647
on0017_blc04_0001	63	-4	5.651
on0017_blc04_0001	63	3	5.636
