tag,seg,rank,bin,alpha_hz_x100,ratio_x100,log10p_x100,hit
Y2,32768,0,1588,14197826,109,-77,0
Y2,32768,1,2934,26232004,109,-45,0
Y2,32768,2,433,3871321,109,-25,0
Y2,32768,3,2344,20956993,108,-12,0
Y2,32768,4,1055,9432435,108,-11,0
Y2,32768,5,4358,38963556,108,-8,0
Y2,32768,6,6085,54404139,108,-8,0
Y2,32768,7,3015,26956200,108,-8,0
Y2,32768,8,1185,10594725,108,-3,0
Y2,32768,9,513,4586577,108,-3,0
Y2,32768,10,2098,18757581,108,-2,0
Y2,32768,11,3,26822,108,-2,0
Y4,32768,0,1588,14197826,110,-126,0
Y4,32768,1,2344,20956993,109,-43,0
Y4,32768,2,11030,98615884,108,-12,0
Y4,32768,3,4292,38373470,108,-5,0
Y4,32768,4,13628,121843814,108,-3,0
Y4,32768,5,585,5230307,108,-2,0
Y4,32768,6,3191,28529763,108,-2,0
Y4,32768,7,1611,14403462,108,-1,0
Y4,32768,8,1069,9557604,108,-1,0
Y4,32768,9,16359,146260857,108,0,0
Y4,32768,10,3406,30452013,108,0,0
Y4,32768,11,8379,74914097,107,0,0
Y6,32768,0,3602,32204389,108,-13,0
Y6,32768,1,585,5230307,108,-11,0
Y6,32768,2,12338,110310316,108,-7,0
Y6,32768,3,6815,60930848,108,0,0
Y6,32768,4,1088,9727478,108,0,0
Y6,32768,5,4989,44605135,107,0,0
Y6,32768,6,146,1305341,107,0,0
Y6,32768,7,11030,98615884,107,0,0
Y6,32768,8,2256,20170211,107,0,0
Y6,32768,9,4897,43782591,107,0,0
Y6,32768,10,13628,121843814,107,0,0
Y6,32768,11,1815,16227364,107,0,0
