tag,seg,rank,bin,alpha_hz_x100,ratio_x100,log10p_x100,hit
Y2,32768,0,9517,85088610,126,-26,0
Y2,32768,1,10665,95352530,125,-21,0
Y2,32768,2,8512,76103210,124,-6,0
Y2,32768,3,16119,144115090,124,-4,0
Y2,32768,4,89,795722,123,-2,0
Y2,32768,5,728,6508827,123,-1,0
Y2,32768,6,1733,15494227,123,-1,0
Y2,32768,7,12157,108692049,122,0,0
Y2,32768,8,14404,128781795,122,0,0
Y2,32768,9,810,7241964,121,0,0
Y2,32768,10,138,1233816,121,0,0
Y2,32768,11,834,7456541,121,0,0
Y4,32768,0,13064,116801261,127,-45,0
Y4,32768,1,728,6508827,124,-7,0
Y4,32768,2,1446,12928247,123,0,0
Y4,32768,3,9030,80734491,123,0,0
Y4,32768,4,12183,108924508,122,0,0
Y4,32768,5,7435,66474080,121,0,0
Y4,32768,6,13787,123265385,121,0,0
Y4,32768,7,4287,38328766,121,0,0
Y4,32768,8,10284,91946125,121,0,0
Y4,32768,9,6346,56737661,121,0,0
Y4,32768,10,9859,88146328,121,0,0
Y4,32768,11,4506,40286779,121,0,0
Y6,32768,0,5708,51033496,126,-32,0
Y6,32768,1,12703,113573670,124,-7,0
Y6,32768,2,10284,91946125,123,-1,0
Y6,32768,3,5700,50961971,123,-1,0
Y6,32768,4,6011,53742527,123,-1,0
Y6,32768,5,9030,80734491,122,0,0
Y6,32768,6,2533,22646784,122,0,0
Y6,32768,7,1126,10067224,122,0,0
Y6,32768,8,1054,9423494,122,0,0
Y6,32768,9,8404,75137615,122,0,0
Y6,32768,10,15453,138160586,121,0,0
Y6,32768,11,728,6508827,121,0,0
