dm,width,sigma_x100,t,verdict
0,1,799,16531,-
0,2,657,62805,-
0,4,582,62805,-
0,8,558,50563,-
0,16,513,50563,-
0,32,385,50555,-
0,64,373,31713,-
0,128,385,41740,-
3225,1,846,61955,-
3225,2,650,50565,-
3225,4,575,2154,-
3225,8,502,2154,-
3225,16,509,19304,-
3225,32,401,8889,-
3225,64,378,8873,-
3225,128,410,41736,-
6451,1,806,35150,-
6451,2,757,39116,-
6451,4,558,39115,-
6451,8,618,2152,-
6451,16,536,19304,-
6451,32,432,8884,-
6451,64,385,8867,-
6451,128,440,41728,-
9677,1,795,61942,-
9677,2,778,36508,-
9677,4,638,50564,-
9677,8,584,50563,-
9677,16,475,41784,-
9677,32,415,8883,-
9677,64,365,31710,-
9677,128,438,41726,-
12903,1,991,4388,-
12903,2,1003,39103,-
12903,4,730,39102,-
12903,8,560,39103,-
12903,16,439,62783,-
12903,32,397,16110,-
12903,64,370,32941,-
12903,128,420,41720,-
16129,1,898,24492,-
16129,2,763,39096,-
16129,4,531,39095,-
16129,8,556,65456,-
16129,16,473,16106,-
16129,32,433,54430,-
16129,64,370,32940,-
16129,128,407,41719,-
19354,1,1116,61922,-
19354,2,747,61922,-
19354,4,626,1829,-
19354,8,519,57667,-
19354,16,452,65453,-
19354,32,443,16102,-
19354,64,349,31697,-
19354,128,423,41736,-
22580,1,757,55468,-
22580,2,812,55468,-
22580,4,588,55469,-
22580,8,468,19302,-
22580,16,439,19303,-
22580,32,453,16102,-
22580,64,362,13954,-
22580,128,428,41728,-
25806,1,841,20285,-
25806,2,742,39077,-
25806,4,545,1816,-
25806,8,509,19302,-
25806,16,418,1822,-
25806,32,427,16098,-
25806,64,362,37378,-
25806,128,433,41726,-
29032,1,942,61902,-
29032,2,686,31278,-
29032,4,577,32912,-
29032,8,496,32912,-
29032,16,465,29371,-
29032,32,403,16098,-
29032,64,394,37371,-
29032,128,408,41728,-
32258,1,1034,61895,-
32258,2,722,61895,-
32258,4,574,55469,-
32258,8,494,37392,-
32258,16,418,39843,-
32258,32,393,62791,-
32258,64,380,37366,-
32258,128,396,41722,-
35483,1,863,61889,-
35483,2,707,36508,-
35483,4,593,50854,-
35483,8,549,50853,-
35483,16,463,38565,-
35483,32,419,62791,-
35483,64,401,17489,-
35483,128,403,41726,-
38709,1,894,55468,-
38709,2,745,36508,-
38709,4,555,58444,-
38709,8,513,16100,-
38709,16,453,62782,-
38709,32,406,62790,-
38709,64,364,1942,-
38709,128,421,41738,-
41935,1,873,50058,-
41935,2,746,35063,-
41935,4,624,35064,-
41935,8,457,14947,-
41935,16,436,62783,-
41935,32,400,62790,-
41935,64,359,41769,-
41935,128,454,41738,-
45161,1,1082,4388,-
45161,2,707,31278,-
45161,4,544,56336,-
45161,8,528,40621,-
45161,16,451,31285,-
45161,32,403,62782,-
45161,64,384,31289,-
45161,128,473,41737,-
48387,1,789,30145,-
48387,2,643,49155,-
48387,4,553,39030,-
48387,8,575,40618,-
48387,16,473,40622,-
48387,32,399,62774,-
48387,64,394,31287,-
48387,128,493,41726,-
51612,1,835,25458,-
51612,2,824,25459,-
51612,4,598,50152,-
51612,8,522,37326,-
51612,16,440,40616,-
51612,32,391,13143,-
51612,64,390,14746,-
51612,128,481,41725,-
54838,1,941,30519,-
54838,2,719,61872,-
54838,4,541,61871,-
54838,8,509,61870,-
54838,16,457,55475,-
54838,32,432,41678,-
54838,64,378,14744,-
54838,128,472,41726,-
