dm,width,sigma_x100,t,verdict
0,1,895,63232,-
0,2,686,20946,-
0,4,612,54466,-
0,8,479,35334,-
0,16,488,26735,-
0,32,460,47104,-
0,64,375,51973,-
0,128,347,42948,-
3225,1,1001,37082,-
3225,2,799,37083,-
3225,4,622,59057,-
3225,8,557,23950,-
3225,16,478,54973,-
3225,32,450,47098,-
3225,64,417,42914,-
3225,128,327,42945,-
6451,1,832,17392,-
6451,2,648,20946,-
6451,4,638,59050,-
6451,8,622,26733,-
6451,16,466,54968,-
6451,32,425,26725,-
6451,64,375,42913,-
6451,128,332,42929,-
9677,1,932,61348,-
9677,2,806,26730,-
9677,4,686,59044,-
9677,8,604,59045,-
9677,16,497,18028,-
9677,32,445,30000,-
9677,64,380,29984,-
9677,128,328,42929,-
12903,1,914,29463,-
12903,2,659,57289,-
12903,4,624,48343,-
12903,8,498,29462,-
12903,16,499,61000,-
12903,32,413,32419,-
12903,64,388,63291,-
12903,128,321,42929,-
16129,1,808,34200,-
16129,2,695,34201,-
16129,4,561,13369,-
16129,8,487,50151,-
16129,16,528,60999,-
16129,32,425,63876,-
16129,64,407,63282,-
16129,128,321,37325,-
19354,1,997,31268,-
19354,2,694,8949,-
19354,4,587,36527,-
19354,8,542,60992,-
19354,16,536,60998,-
19354,32,444,63874,-
19354,64,386,59891,-
19354,128,334,37327,-
22580,1,798,8948,-
22580,2,650,35396,-
22580,4,559,45659,-
22580,8,562,34003,-
22580,16,472,29181,-
22580,32,437,63285,-
22580,64,407,59890,-
22580,128,333,37327,-
25806,1,842,5448,-
25806,2,773,5448,-
25806,4,669,41526,-
25806,8,559,53574,-
25806,16,477,63865,-
25806,32,455,63284,-
25806,64,419,59865,-
25806,128,337,37320,-
29032,1,892,8948,-
29032,2,666,59005,-
29032,4,643,59005,-
29032,8,603,53570,-
29032,16,479,20944,-
29032,32,454,42884,-
29032,64,430,59872,-
29032,128,327,37316,-
32258,1,903,20211,-
32258,2,635,50796,-
32258,4,630,20213,-
32258,8,548,20212,-
32258,16,459,59846,-
32258,32,502,59855,-
32258,64,483,59870,-
32258,128,355,37314,-
35483,1,911,37016,-
35483,2,648,29414,-
35483,4,545,58991,-
35483,8,567,58592,-
35483,16,456,59843,-
35483,32,476,59850,-
35483,64,475,59865,-
35483,128,346,37309,-
38709,1,827,26250,-
38709,2,740,55073,-
38709,4,586,58590,-
38709,8,593,58982,-
38709,16,478,58978,-
38709,32,498,59852,-
38709,64,477,59860,-
38709,128,338,42865,-
41935,1,931,19152,-
41935,2,733,48285,-
41935,4,643,58978,-
41935,8,578,33964,-
41935,16,457,29398,-
41935,32,499,59846,-
41935,64,469,59850,-
41935,128,331,63267,-
45161,1,981,36996,-
45161,2,657,36997,-
45161,4,693,58971,-
45161,8,518,58973,-
45161,16,441,29390,-
45161,32,451,59839,-
45161,64,485,59846,-
45161,128,341,63261,-
48387,1,838,36597,-
48387,2,676,43350,-
48387,4,570,49935,-
48387,8,525,29388,-
48387,16,484,29384,-
48387,32,503,30007,-
48387,64,451,59841,-
48387,128,347,20885,-
51612,1,918,36983,-
51612,2,681,33947,-
51612,4,586,50155,-
51612,8,556,29381,-
51612,16,462,30000,-
51612,32,435,30002,-
51612,64,465,59834,-
51612,128,331,42838,-
54838,1,972,3963,-
54838,2,663,3964,-
54838,4,634,58951,-
54838,8,569,29376,-
54838,16,435,29375,-
54838,32,439,30005,-
54838,64,456,59828,-
54838,128,351,20885,-
58064,1,919,29770,-
58064,2,648,29771,-
58064,4,602,54856,-
58064,8,563,61684,-
58064,16,477,30000,-
58064,32,414,30004,-
58064,64,414,61662,-
58064,128,355,37314,-
61290,1,885,24607,-
61290,2,714,61682,-
61290,4,625,29701,-
61290,8,548,61685,-
61290,16,462,61685,-
61290,32,403,30001,-
61290,64,408,61661,-
61290,128,364,37311,-
64516,1,937,35396,-
64516,2,679,28907,-
64516,4,603,26471,-
64516,8,556,26472,-
64516,16,448,54849,-
64516,32,377,59799,-
64516,64,399,61657,-
64516,128,373,37312,-
67741,1,944,8948,-
67741,2,651,61669,-
67741,4,563,5362,-
67741,8,505,40651,-
67741,16,425,61676,-
67741,32,367,55384,-
67741,64,367,7970,-
67741,128,367,37306,-
70967,1,790,36597,-
70967,2,750,36597,-
70967,4,609,58918,-
70967,8,466,58916,-
70967,16,451,18854,-
70967,32,368,37352,-
70967,64,353,61658,-
70967,128,358,37306,-
74193,1,904,20125,-
74193,2,771,48218,-
74193,4,638,48219,-
74193,8,524,48219,-
74193,16,448,18852,-
74193,32,374,55383,-
74193,64,373,41556,-
74193,128,345,37300,-
77419,1,914,64532,-
77419,2,775,50823,-
77419,4,613,38845,-
77419,8,583,58903,-
77419,16,472,18848,-
77419,32,430,41538,-
77419,64,387,41522,-
77419,128,354,37294,-
80645,1,906,8948,-
80645,2,642,8949,-
80645,4,594,58898,-
80645,8,645,58896,-
80645,16,480,58892,-
80645,32,395,50449,-
80645,64,380,41519,-
80645,128,347,37330,-
83870,1,822,61096,-
83870,2,728,36221,-
83870,4,608,58892,-
83870,8,633,59222,-
83870,16,461,58887,-
83870,32,422,22759,-
83870,64,379,41515,-
83870,128,367,37327,-
87096,1,937,1065,-
87096,2,737,1066,-
87096,4,666,58885,-
87096,8,542,58883,-
87096,16,487,59219,-
87096,32,402,54298,-
87096,64,370,41520,-
87096,128,356,37325,-
90322,1,829,3890,-
90322,2,674,50796,-
90322,4,653,58878,-
90322,8,577,46887,-
90322,16,463,8951,-
90322,32,386,54293,-
90322,64,384,41499,-
90322,128,349,37327,-
93548,1,886,3884,-
93548,2,752,8949,-
93548,4,689,8950,-
93548,8,588,58870,-
93548,16,443,13216,-
93548,32,417,50794,-
93548,64,377,41497,-
93548,128,362,50769,-
96774,1,992,36254,-
96774,2,704,58866,-
96774,4,716,35886,-
96774,8,682,35887,-
96774,16,456,31073,-
96774,32,434,29277,-
96774,64,379,41500,-
96774,128,347,50770,-
100000,1,805,3870,-
100000,2,684,7671,-
100000,4,628,49977,-
100000,8,654,49979,-
100000,16,521,30554,-
100000,32,421,29274,-
100000,64,365,930,-
100000,128,344,37331,-
